time,LP1,LP2,LP3,LP4,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,temp
2036,4066,4055,4066,4066,0,-63,0,-50,-8,-63,-1
2042,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
2047,4066,4054,4065,4066,0,-63,0,-50,-8,-63,-1
2052,4065,4054,4066,4066,0,-63,0,-50,-8,-63,-1
2057,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
2062,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
2067,4066,4055,4065,4066,0,-63,0,-49,-8,-63,-1
2072,4067,4055,4065,4066,0,-63,0,-50,-8,-63,-1
2077,4066,4054,4064,4066,0,-63,0,-50,-8,-63,-1
2082,4065,4055,4065,4066,0,-63,0,-50,-8,-63,-1
2087,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
2092,4065,4055,4065,4067,-63,0,0,-50,-8,-63,-1
2096,4066,4055,4065,4067,-63,0,0,-50,-8,-63,-1
2102,4065,4055,4065,4066,-63,0,-63,-50,-8,-63,-1
